android.hardware.audio.low_latency,Audio,"The app uses the device's low-latency audio pipeline, which reduces lag and delays when processing sound input or output."
android.hardware.audio.output,Audio,"The app transmits sound using the device's speakers, audio jack, Bluetooth streaming capabilities, or a similar mechanism."
android.hardware.audio.pro,Audio,The app uses the device's high-end audio functionality and performance capabilities.
android.hardware.microphone,Audio,The app records audio using the device's microphone.
android.hardware.bluetooth,Bluetooth,"The app uses the device's Bluetooth features, usually to communicate with other Bluetooth-enabled devices."
android.hardware.bluetooth_le,Bluetooth,The app uses the device's Bluetooth Low Energy radio features.
android.hardware.camera,Camera,"The app uses the device's back-facing camera."
android.hardware.camera.any,Camera,"The app uses one of the device's cameras, or an external camera that the user connects to the device. "
android.hardware.camera.autofocus,Camera,The app uses the autofocus feature that the device's camera supports.
android.hardware.camera.capability.manual_post_processing,Camera,This feature allows your app to override the camera's auto white balance functionality.
android.hardware.camera.capability.manual_sensor,Camera,"This feature implies support for auto-exposure locking (android.control.aeLock), which allows the camera's exposure time and sensitivity to remain fixed at specific values."
android.hardware.camera.capability.raw,Camera,This feature implies that the device can save DNG (raw) files and that the device's camera provides the DNG-related metadata necessary for your app to process these raw images directly.
android.hardware.camera.external,Camera,"The app communicates with an external camera that the user connects to the device. This feature does not guarantee, however, that the external camera is available for your app to use."
android.hardware.camera.flash,Camera,The app uses the flash feature that the device's camera supports.
android.hardware.camera.front,Camera,The app uses the device's front-facing camera.
android.hardware.camera.level.full,Camera,"The app uses the FULL-level image-capturing support that at least one of the device's cameras provides. Cameras with FULL support provide burst-capture capabilities, per-frame control, and manual post-processing control."
android.hardware.type.automotive,DeviceUI,"The app is designed to show its UI on a set of screens inside a vehicle. The user interacts with the app using hard buttons, touch, rotary controllers, and mouse-like interfaces. The vehicle's screens usually appear in the center console or the instrument cluster of a vehicle. These screens usually have limited size and resolution."
android.hardware.type.television,DeviceUI,"The app is designed to show its UI on a television. This feature defines ""television"" to be a typical living room television experience: displayed on a big screen, where the user is sitting far away and the dominant form of input is something like a d-pad, and generally not using a mouse, pointer, or touch device."
android.hardware.type.watch,DeviceUI,"The app is designed to show its UI on a watch. A watch is worn on the body, such as on the wrist. The user is very close to the device while interacting with it."
android.hardware.fingerprint,Fingerprint,The app reads fingerprints using the device's biometric hardware.
android.hardware.gamepad,Gamepad,"The app captures game controller input, either from the device itself or from a connected gamepad."
android.hardware.consumerir,Infrared ,"The app uses the device's infrared (IR) capabilities, usually to communicate with other consumer IR devices."
android.hardware.location,Location,"The app uses one or more features on the device for determining location, such as GPS location, network location, or cell location."
android.hardware.location.gps,Location,The app uses precise location coordinates obtained from a Global Positioning System (GPS) receiver on the device.
android.hardware.location.network,Location,The app uses coarse location coordinates obtained from a network-based geolocation system supported on the device.
android.hardware.nfc,NFC,The app uses the device's Near-Field Communication (NFC) radio features.
android.hardware.nfc.hce,NFC,The app uses NFC card emulation that is hosted on the device.
android.hardware.opengles.aep,OpenGL,The app uses the OpenGL ES Android Extension Pack that is installed on the device.
android.hardware.sensor.accelerometer,Sensor,"The app uses motion readings from the device's accelerometer to detect the device's current orientation. For example, an app could use accelerometer readings to determine when to switch between portrait and landscape orientations."
android.hardware.sensor.ambient_temperature,Sensor,"The app uses the device's ambient (environmental) temperature sensor. For example, a weather app could report indoor or outdoor temperature."
android.hardware.sensor.barometer,Sensor,"The app uses the device's barometer. For example, a weather app could report air pressure."
android.hardware.sensor.compass,Sensor,"The app uses the device's magnetometer (compass). For example, a navigation app could show the current direction a user faces."
android.hardware.sensor.gyroscope,Sensor,"The app uses the device's gyroscope to detect rotation and twist, creating a six-axis orientation system. By using this sensor, an app can detect more smoothly whether it needs to switch between portrait and landscape orientations."
